Player,Pos,Age,Tm,Link,Status
Precious Achiuwa,C,23,TOR,https://www.basketball-reference.com/players/a/achiupr01.html,Active
Steven Adams,C,29,MEM,https://www.basketball-reference.com/players/a/adamsst01.html,Active
Bam Adebayo,C,25,MIA,https://www.basketball-reference.com/players/a/adebaba01.html,Active
Ochai Agbaji,SG,22,UTA,https://www.basketball-reference.com/players/a/agbajoc01.html,Active
Santi Aldama,PF,22,MEM,https://www.basketball-reference.com/players/a/aldamsa01.html,Active
Nickeil Alexander-Walker,SG,24,UTA,https://www.basketball-reference.com/players/a/alexani01.html,Active
Grayson Allen,SG,27,MIL,https://www.basketball-reference.com/players/a/allengr01.html,Active
Jarrett Allen,C,24,CLE,https://www.basketball-reference.com/players/a/allenja01.html,Active
Jose Alvarado,PG,24,NOP,https://www.basketball-reference.com/players/a/alvarjo01.html,Active
Kyle Anderson,PF,29,MIN,https://www.basketball-reference.com/players/a/anderky01.html,Active
Giannis Antetokounmpo,PF,28,MIL,https://www.basketball-reference.com/players/a/antetgi01.html,Active
Thanasis Antetokounmpo,SF,30,MIL,https://www.basketball-reference.com/players/a/antetth01.html,Active
Cole Anthony,PG,22,ORL,https://www.basketball-reference.com/players/a/anthoco01.html,Active
OG Anunoby,SF,25,TOR,https://www.basketball-reference.com/players/a/anunoog01.html,Active
Ryan Arcidiacono,PG,28,NYK,https://www.basketball-reference.com/players/a/arcidry01.html,Active
Deni Avdija,SF,22,WAS,https://www.basketball-reference.com/players/a/avdijde01.html,Active
Deandre Ayton,C,24,PHO,https://www.basketball-reference.com/players/a/aytonde01.html,Active
Udoka Azubuike,C,23,UTA,https://www.basketball-reference.com/players/a/azubuud01.html,Active
Marvin Bagley III,C,23,DET,https://www.basketball-reference.com/players/b/baglema01.html,Active
Patrick Baldwin Jr.,SF,20,GSW,https://www.basketball-reference.com/players/b/baldwpa01.html,Active
LaMelo Ball,PG,21,CHO,https://www.basketball-reference.com/players/b/ballla01.html,Active
Mo Bamba,C,24,ORL,https://www.basketball-reference.com/players/b/bambamo01.html,Active
Paolo Banchero,PF,20,ORL,https://www.basketball-reference.com/players/b/banchpa01.html,Active
Desmond Bane,SG,24,MEM,https://www.basketball-reference.com/players/b/banede01.html,Active
Dalano Banton,PG,23,TOR,https://www.basketball-reference.com/players/b/bantoda01.html,Active
Dominick Barlow,SF,19,SAS,https://www.basketball-reference.com/players/b/barlodo01.html,Active
Harrison Barnes,PF,30,SAC,https://www.basketball-reference.com/players/b/barneha02.html,Active
Scottie Barnes,PF,21,TOR,https://www.basketball-reference.com/players/b/barnesc01.html,Active
RJ Barrett,SG,22,NYK,https://www.basketball-reference.com/players/b/barrerj01.html,Active
Will Barton,SG,32,WAS,https://www.basketball-reference.com/players/b/bartowi01.html,Active
Charles Bassey,C,22,SAS,https://www.basketball-reference.com/players/b/bassech01.html,Active
Keita Bates-Diop,SF,27,SAS,https://www.basketball-reference.com/players/b/bateske01.html,Active
Nicolas Batum,PF,34,LAC,https://www.basketball-reference.com/players/b/batumni01.html,Active
Darius Bazley,PF,22,OKC,https://www.basketball-reference.com/players/b/bazleda01.html,Active
Bradley Beal,SG,29,WAS,https://www.basketball-reference.com/players/b/bealbr01.html,Active
Malik Beasley,SG,26,UTA,https://www.basketball-reference.com/players/b/beaslma01.html,Active
MarJon Beauchamp,SF,22,MIL,https://www.basketball-reference.com/players/b/beaucma01.html,Active
Dāvis Bertāns,PF,30,DAL,https://www.basketball-reference.com/players/b/bertada01.html,Active
Patrick Beverley,PG,34,LAL,https://www.basketball-reference.com/players/b/beverpa01.html,Active
Saddiq Bey,SF,23,DET,https://www.basketball-reference.com/players/b/beysa01.html,Active
Khem Birch,C,30,TOR,https://www.basketball-reference.com/players/b/birchkh01.html,Active
Goga Bitadze,C,23,IND,https://www.basketball-reference.com/players/b/bitadgo01.html,Active
Bismack Biyombo,C,30,PHO,https://www.basketball-reference.com/players/b/biyombi01.html,Active
Buddy Boeheim,PG,23,DET,https://www.basketball-reference.com/players/b/boehebu01.html,Active
Bogdan Bogdanović,SG,30,ATL,https://www.basketball-reference.com/players/b/bogdabo01.html,Active
Bojan Bogdanović,PF,33,DET,https://www.basketball-reference.com/players/b/bogdabo02.html,Active
Bol Bol,PF,23,ORL,https://www.basketball-reference.com/players/b/bolbo01.html,Active
Leandro Bolmaro,SG,22,UTA,https://www.basketball-reference.com/players/b/bolmale01.html,Active
Devin Booker,SG,26,PHO,https://www.basketball-reference.com/players/b/bookede01.html,Active
Brandon Boston Jr.,SG,21,LAC,https://www.basketball-reference.com/players/b/bostobr01.html,Active
