,No.,Player,Pos,Ht,Wt,Birth Date,Unnamed: 6,Exp,College,Tm,Link
0,17.0,Onyeka Okongwu,C,6-8,235,"December 11, 2000",us,2,USC,ATL,https://www.basketball-reference.com/players/o/okongon01.html
1,1.0,Jalen Johnson,SF,6-9,220,"December 18, 2001",us,1,Duke,ATL,https://www.basketball-reference.com/players/j/johnsja05.html
2,11.0,Trae Young,PG,6-1,164,"September 19, 1998",us,4,Oklahoma,ATL,https://www.basketball-reference.com/players/y/youngtr01.html
3,14.0,AJ Griffin,SF,6-6,222,"August 25, 2003",us,R,Duke,ATL,https://www.basketball-reference.com/players/g/griffaj01.html
4,3.0,Aaron Holiday,PG,6-0,185,"September 30, 1996",us,4,UCLA,ATL,https://www.basketball-reference.com/players/h/holidaa01.html
5,5.0,Dejounte Murray,SG,6-4,180,"September 19, 1996",us,5,Washington,ATL,https://www.basketball-reference.com/players/m/murrade01.html
6,12.0,De'Andre Hunter,SF,6-8,225,"December 2, 1997",us,3,Virginia,ATL,https://www.basketball-reference.com/players/h/huntede01.html
7,20.0,John Collins,PF,6-9,235,"September 23, 1997",us,5,Wake Forest,ATL,https://www.basketball-reference.com/players/c/collijo01.html
8,15.0,Clint Capela,C,6-10,240,"May 18, 1994",ch,8,,ATL,https://www.basketball-reference.com/players/c/capelca01.html
9,8.0,Justin Holiday,SG,6-6,180,"April 5, 1989",us,9,Washington,ATL,https://www.basketball-reference.com/players/h/holidju01.html
10,0.0,Frank Kaminsky,C,7-0,240,"April 4, 1993",us,7,Wisconsin,ATL,https://www.basketball-reference.com/players/k/kaminfr01.html
11,27.0,Vit Krejci,PG,6-8,195,"June 19, 2000",cz,1,,ATL,https://www.basketball-reference.com/players/k/krejcvi01.html
12,2.0,Trent Forrest,PG,6-4,210,"June 12, 1998",us,2,Florida State,ATL,https://www.basketball-reference.com/players/f/forretr01.html
