Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PG,SG,SF,PF,C,Player Name,Status
2022-23,23,MIL,NBA,SG,17,150,14.5,0.679,0.788,0.077,2.1,11.6,7.0,8.0,1.3,0.0,6.9,16.1,0.3,0.2,0.5,0.162,0.3,0.5,0.8,0.1,False,True,False,False,False,A.J. Green,Active
2022-23,22,TOT,NBA,SG,5,9,-5.5,0.25,0.75,0.0,0.0,11.9,6.2,0.0,0.0,0.0,0.0,19.8,-0.1,0.0,-0.1,-0.294,-13.6,-5.0,-18.7,0.0,False,True,False,False,False,A.J. Lawson,Active
2022-23,19,ATL,NBA,SF,36,757,13.3,0.574,0.518,0.053,2.9,8.2,5.5,6.7,2.1,0.6,8.0,18.8,0.5,0.7,1.2,0.074,-0.3,0.2,-0.2,0.4,False,False,True,False,False,AJ Griffin,Active
2014-15,19,ORL,NBA,PF,47,797,11.4,0.517,0.231,0.293,6.4,17.8,12.0,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1.0,0.06,-2.6,-0.1,-2.7,-0.2,False,False,True,True,False,Aaron Gordon,Active
2015-16,20,ORL,NBA,PF,78,1863,17.0,0.541,0.245,0.333,9.0,21.3,15.1,10.3,1.6,2.4,9.0,17.3,3.2,2.2,5.4,0.139,0.9,0.1,1.0,1.4,False,False,True,True,False,Aaron Gordon,Active
2016-17,21,ORL,NBA,SF,80,2298,14.5,0.53,0.309,0.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2.0,1.7,3.7,0.077,-0.3,-0.7,-1.0,0.6,False,False,True,True,False,Aaron Gordon,Active
2017-18,22,ORL,NBA,PF,58,1909,16.5,0.53,0.395,0.26,5.0,21.5,13.2,11.7,1.5,1.9,10.0,24.7,0.9,2.0,2.9,0.072,0.9,-0.6,0.3,1.1,False,False,True,True,False,Aaron Gordon,Active
2018-19,23,ORL,NBA,PF,78,2633,15.1,0.538,0.332,0.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,False,False,True,True,False,Aaron Gordon,Active
2019-20,24,ORL,NBA,PF,62,2017,15.1,0.516,0.309,0.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0.0,1.0,False,False,True,True,False,Aaron Gordon,Active
2020-21,25,TOT,NBA,PF,50,1384,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,False,False,True,True,False,Aaron Gordon,Active
2021-22,26,DEN,NBA,PF,75,2376,15.3,0.602,0.312,0.276,6.1,14.3,10.3,11.6,0.9,1.7,12.5,19.7,3.2,2.0,5.2,0.105,0.5,-1.1,-0.6,0.9,False,False,True,True,False,Aaron Gordon,Active
2022-23,27,DEN,NBA,PF,34,1024,21.0,0.644,0.227,0.424,10.3,16.4,13.4,11.4,1.5,2.2,10.6,21.1,2.7,1.0,3.6,0.17,3.0,-0.7,2.3,1.1,False,False,True,True,False,Aaron Gordon,Active
2018-19,22,IND,NBA,PG,50,646,11.9,0.518,0.485,0.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1,True,False,False,False,False,Aaron Holiday,Active
2019-20,23,IND,NBA,PG,66,1617,11.6,0.521,0.393,0.155,1.5,9.0,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0.0,-1.6,0.2,True,False,False,False,False,Aaron Holiday,Active
2020-21,24,IND,NBA,PG,66,1176,9.2,0.503,0.417,0.19,1.4,6.8,4.1,14.0,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.3,-0.9,-4.2,-0.7,True,False,False,False,False,Aaron Holiday,Active
2021-22,25,TOT,NBA,PG,63,1021,12.6,0.544,0.305,0.201,2.6,10.3,6.5,20.7,2.0,0.7,15.4,18.7,0.5,0.9,1.5,0.068,-1.9,0.3,-1.7,0.1,True,False,False,False,False,Aaron Holiday,Active
2022-23,26,ATL,NBA,PG,36,587,9.5,0.542,0.378,0.162,2.9,6.7,4.7,11.9,1.9,1.0,12.2,13.0,0.3,0.5,0.8,0.063,-3.0,0.9,-2.1,0.0,True,False,False,False,False,Aaron Holiday,Active
2020-21,21,BOS,NBA,SF,46,669,9.4,0.573,0.607,0.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,0.076,-2.8,-0.4,-3.2,-0.2,False,False,True,False,False,Aaron Nesmith,Active
2021-22,22,BOS,NBA,SF,52,574,7.3,0.507,0.632,0.143,2.9,13.6,8.4,5.4,1.7,0.8,13.8,17.2,-0.4,0.9,0.4,0.038,-4.9,0.7,-4.3,-0.3,False,False,True,False,False,Aaron Nesmith,Active
2022-23,23,IND,NBA,SF,36,840,11.6,0.575,0.522,0.225,3.8,14.0,9.0,7.8,1.6,1.8,9.5,16.8,0.7,0.8,1.4,0.083,-1.7,0.1,-1.6,0.1,False,False,True,False,False,Aaron Nesmith,Active
2021-22,23,OKC,NBA,SG,50,1209,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,False,True,False,False,False,Aaron Wiggins,Active
2022-23,24,OKC,NBA,SG,31,569,12.1,0.593,0.36,0.233,5.8,14.6,10.1,11.2,1.2,0.6,14.5,14.1,0.6,0.5,1.1,0.092,-1.2,-0.7,-1.9,0.0,False,True,False,False,False,Aaron Wiggins,Active
2019-20,22,WAS,NBA,PF,33,368,6.1,0.502,0.663,0.163,2.0,12.4,7.0,5.3,1.0,0.9,6.6,11.9,0.1,0.1,0.1,0.017,-4.3,-1.2,-5.5,-0.3,False,False,True,True,False,Admiral Schofield,Active
2021-22,24,ORL,NBA,SF,38,469,7.5,0.538,0.612,0.116,3.8,16.3,10.0,7.9,0.4,1.0,13.4,14.5,-0.1,0.3,0.3,0.027,-4.2,-1.2,-5.4,-0.4,False,False,True,True,False,Admiral Schofield,Active
2022-23,25,ORL,NBA,PF,25,333,12.6,0.613,0.587,0.207,6.5,11.1,8.8,9.5,0.9,0.9,4.7,13.7,0.7,0.2,0.9,0.134,-0.6,-0.5,-1.1,0.1,False,False,True,True,False,Admiral Schofield,Active
2007-08,21,ATL,NBA,C,81,2540,14.7,0.539,0.007,0.317,11.4,24.5,18.0,7.9,1.2,2.2,15.3,16.0,2.4,3.0,5.5,0.103,-1.2,-0.3,-1.6,0.3,False,False,False,False,True,Al Horford,Active
2008-09,22,ATL,NBA,C,67,2242,17.0,0.565,0.002,0.345,7.6,25.0,16.3,11.9,1.3,3.3,13.1,16.4,3.3,3.5,6.8,0.145,0.2,1.5,1.7,2.1,False,False,False,False,True,Al Horford,Active
2009-10,23,ATL,NBA,C,81,2845,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.8,0.5,2.3,3.1,False,False,False,False,True,Al Horford,Active
2010-11,24,ATL,NBA,C,77,2704,20.7,0.587,0.004,0.204,8.2,23.7,16.0,17.5,1.2,2.3,10.6,19.7,6.4,3.7,10.1,0.179,2.5,1.1,3.6,3.9,False,False,False,False,True,Al Horford,Active
2011-12,25,ATL,NBA,C,11,348,19.0,0.585,0.01,0.291,8.8,17.1,13.0,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,1.8,1.5,3.4,0.5,False,False,False,False,True,Al Horford,Active
2012-13,26,ATL,NBA,C,74,2756,19.8,0.56,0.006,0.196,8.2,23.0,15.7,15.3,1.5,2.2,11.3,21.8,4.7,4.1,8.8,0.153,1.3,0.6,1.9,2.7,False,False,False,False,True,Al Horford,Active
2013-14,27,ATL,NBA,C,29,958,22.0,0.588,0.026,0.202,8.0,21.4,14.8,15.2,1.4,3.6,12.3,24.7,1.5,1.3,2.8,0.141,2.2,0.8,3.0,1.2,False,False,False,False,True,Al Horford,Active
2014-15,28,ATL,NBA,C,76,2318,21.4,0.563,0.037,0.146,6.7,19.8,13.4,18.6,1.5,3.5,8.9,22.2,5.1,3.6,8.7,0.179,2.6,1.5,4.1,3.6,False,False,False,False,True,Al Horford,Active
2015-16,29,ATL,NBA,C,82,2631,19.4,0.565,0.244,0.123,6.3,18.2,12.4,16.7,1.3,3.6,8.8,20.6,4.9,4.5,9.4,0.172,2.2,1.6,3.8,3.9,False,False,False,False,True,Al Horford,Active
2016-17,30,BOS,NBA,C,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,2.3,1.1,3.4,3.0,False,False,False,False,True,Al Horford,Active
2017-18,31,BOS,NBA,C,72,2277,17.6,0.575,0.3,0.159,5.0,20.2,12.7,23.6,0.9,2.9,14.1,18.4,4.0,3.8,7.8,0.165,2.4,2.0,4.4,3.7,False,False,False,False,True,Al Horford,Active
