,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,PG,SG,SF,PF,C,Player Name
0,2020-21,21.0,MIA,NBA,PF,61.0,737.0,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,,0.3,1.0,1.3,0.085,,-3.6,-0.5,-4.1,-0.4,False,False,False,True,True,Precious Achiuwa
1,2021-22,22.0,TOR,NBA,C,73.0,1725.0,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,0.07,,-2.0,-0.6,-2.6,-0.2,False,False,False,True,True,Precious Achiuwa
2,2022-23,23.0,TOR,NBA,C,13.0,257.0,14.1,0.489,0.305,0.368,10.0,28.6,18.6,10.1,0.6,3.9,12.0,20.8,,0.0,0.3,0.3,0.058,,-2.2,-1.2,-3.4,-0.1,False,False,False,True,True,Precious Achiuwa
3,Career,,,NBA,,147.0,2719.0,13.2,0.514,0.201,0.298,9.6,22.0,15.6,7.0,1.1,2.9,11.9,19.0,,0.7,3.4,4.1,0.073,,-2.4,-0.6,-3.1,-0.7,False,False,False,True,True,Precious Achiuwa
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,True,True,Precious Achiuwa
5,2 seasons,,TOR,NBA,,86.0,1982.0,12.8,0.501,0.265,0.238,8.9,22.6,15.3,7.3,1.0,2.5,11.4,18.8,,0.5,2.4,2.8,0.068,,-2.0,-0.7,-2.7,-0.3,False,False,False,True,True,Precious Achiuwa
6,1 season,,MIA,NBA,,61.0,737.0,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,,0.3,1.0,1.3,0.085,,-3.6,-0.5,-4.1,-0.4,False,False,False,True,True,Precious Achiuwa
0,2013-14,20.0,OKC,NBA,C,81.0,1197.0,11.2,0.541,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,,0.9,1.9,2.9,0.114,,-3.1,0.9,-2.2,-0.1,False,False,False,False,True,Steven Adams
1,2014-15,21.0,OKC,NBA,C,70.0,1771.0,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,,1.9,2.2,4.1,0.111,,-1.5,0.2,-1.3,0.3,False,False,False,False,True,Steven Adams
2,2015-16,22.0,OKC,NBA,C,80.0,2014.0,15.5,0.621,0.0,0.46,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,,4.2,2.3,6.5,0.155,,0.0,0.2,0.2,1.1,False,False,False,False,True,Steven Adams
